"id","latitude","longitude","alertDate","forecastInitTime","createdAt","maxTemperature","minTemperature","maxHeatIndex","alertLevel","alertMessage","source"
14,"27.5","-98.75","2025-10-08","2025-10-04 12:00:00","2025-10-05 19:26:09.984","36.65487060546877","22.79299316406252","32.13249373281688",1,"WATCH: Hot conditions - limit outdoor exposure","GEOS-CF"
15,"28.75","-100","2025-10-08","2025-10-04 12:00:00","2025-10-05 19:26:09.986","36.71737060546877","24.2567077636719","32.18440135304658",1,"WATCH: Hot conditions - limit outdoor exposure","GEOS-CF"
"16","25","-98.75","2025-10-02","2025-10-01 12:00:00","2025-10-06 02:17:34.828",40.00011276574797,23.136136904528154,29.863385490230215,"1","WATCH: Hot conditions - limit outdoor exposure","GEOS-CF"
"17","26.25","-98.75","2025-10-02","2025-10-01 12:00:00","2025-10-06 02:17:34.828",37.906974254787656,22.03982240482644,35.93898806811722,"1","WATCH: Hot conditions - limit outdoor exposure","GEOS-CF"
"18","27.5","-100","2025-10-02","2025-10-01 12:00:00","2025-10-06 02:17:34.828",36.05269173533614,21.16103741349886,31.867250797436064,"1","WATCH: Hot conditions - limit outdoor exposure","GEOS-CF"
"19","27.5","-98.75","2025-10-02","2025-10-01 12:00:00","2025-10-06 02:17:34.828",33.72520248363006,23.911280908652554,31.117888688525074,"1","WATCH: Hot conditions - limit outdoor exposure","GEOS-CF"
"20","28.75","-98.75","2025-10-02","2025-10-01 12:00:00","2025-10-06 02:17:34.828",39.216199550760635,24.030789513362407,34.7023578711998,"1","WATCH: Hot conditions - limit outdoor exposure","GEOS-CF"
"21","25","-98.75","2025-10-03","2025-10-02 12:00:00","2025-10-06 02:17:34.828",36.54031918961713,22.059657506469744,29.111191385493626,"1","WATCH: Hot conditions - limit outdoor exposure","GEOS-CF"
"22","26.25","-98.75","2025-10-03","2025-10-02 12:00:00","2025-10-06 02:17:34.828",34.12364063365786,23.722701761074276,33.08569810998946,"1","WATCH: Hot conditions - limit outdoor exposure","GEOS-CF"
"23","27.5","-100","2025-10-03","2025-10-02 12:00:00","2025-10-06 02:17:34.828",37.7215972223121,21.969270314805275,29.976689353695352,"1","WATCH: Hot conditions - limit outdoor exposure","GEOS-CF"
"24","27.5","-98.75","2025-10-03","2025-10-02 12:00:00","2025-10-06 02:17:34.828",36.25801972892382,23.886886483246972,32.654608603838795,"1","WATCH: Hot conditions - limit outdoor exposure","GEOS-CF"
"25","28.75","-98.75","2025-10-03","2025-10-02 12:00:00","2025-10-06 02:17:34.828",34.37363467049927,23.641258440351397,32.83118639881679,"1","WATCH: Hot conditions - limit outdoor exposure","GEOS-CF"
"26","25","-98.75","2025-10-04","2025-10-03 12:00:00","2025-10-06 02:17:34.828",33.85416402565942,23.193259453882465,30.11417098804763,"1","WATCH: Hot conditions - limit outdoor exposure","GEOS-CF"
"27","26.25","-98.75","2025-10-04","2025-10-03 12:00:00","2025-10-06 02:17:34.828",38.48984127830178,23.78170006260761,30.773889206441734,"1","WATCH: Hot conditions - limit outdoor exposure","GEOS-CF"
"28","27.5","-100","2025-10-04","2025-10-03 12:00:00","2025-10-06 02:17:34.828",36.251214417129866,20.516742673972864,33.15663786547047,"1","WATCH: Hot conditions - limit outdoor exposure","GEOS-CF"
"29","27.5","-98.75","2025-10-04","2025-10-03 12:00:00","2025-10-06 02:17:34.828",35.56390960937818,20.42664415420678,30.405610103526676,"1","WATCH: Hot conditions - limit outdoor exposure","GEOS-CF"
"30","28.75","-98.75","2025-10-04","2025-10-03 12:00:00","2025-10-06 02:17:34.828",40.295924331841505,19.716645880973495,29.03773063236215,"1","WATCH: Hot conditions - limit outdoor exposure","GEOS-CF"
